"way","153","202","way, ways"
"new","153","26","new, newest"
"many","146","183","many"
"here","146","69","here"
"worker","145","4334","worker, workers, workers'"
"two","144","115","two"
"through","141","165","through"
"did","140","231","did"
"every","139","392","every"
"get","139","535","get, got, gets, gotten, getting"
"labour","137","3525","labour, laboured, labouring"
"world","136","118","world, worlds"
"still","136","389","still"
"also","136","73","also"
"leave","135","447","left, leave, leaves, leaving"
"house","135","296","house, houses, housed"
"against","133","528","against"
"english","133","446","english"
"thing","126","822","thing, things"
"before","125","229","before"
"place","125","315","place, placed, places, placing"
"use","125","238","use, used, uses, using"
"great","123","208","great, greater, greatest"
"how","123","86","how"
"back","123","102","back, backs, backed, backing"
"few","122","574","few, fewer"
"good","121","154","good, best, goods, better"
"should","121","133","should"
"need","119","182","need, needs, needed"
"think","118","990","think, thinks, thought, thinking"
"much","114","278","much"
"between","113","259","between"
"being","112","276","being"
"most","111","126","most"
"mean","110","4004","mean, means, meant"
"hand","110","1674","hand, hands, handed, handing"
"where","110","158","where"
"find","110","99","find, found, finds, finding"
"never","108","519","never"
"borg","107","-1","borg"
"right","107","233","right, rights"
"must","107","217","must"
"life","106","199","life, lives"
"home","106","32","home, homes"
"long","104","263","long"
"italian","104","2067","italian, italians"
"such","103","143","such"
"ask","102","1071","ask, asks, asked, asking"
"side","102","550","side, sided, sides"
"integration","102","2450","integration"
"become","101","651","become, became, becomes, becoming"
"end","101","1887","end, ends, ended, ending"
"too","101","435","too"
"around","100","425","around"
"another","100","383","another"
"mr","99","1478","mr"
"family","98","1741","family, families, families'"
"once","97","704","once"
"state","95","110","state, states, stated"
"england","95","1170","england"
"off","94","224","off"
"part","93","206","part, parts"
"police","93","1261","police"
"war","93","614","war, wars"
"land","92","772","land, lands, landed"
"she","92","169","she"
"already","92","731","already"
"call","91","744","call, calls, called, calling"
"under","91","189","under"
"while","90","307","while"
"may","90","54","may, might"
"look","87","1871","look, looks, looked, looking"
"let","86","542","let, letting"
"vote","86","1401","vote, votes, voted"
"same","85","288","same"
"turn","85","2349","turn, turns, turned, turning"
"nothing","85","1098","nothing"
"minister","85","1869","minister, ministers"
"seem","84","3624","seem, seems, seemed"
"start","84","473","start, starts, started, starting"
"boffa","84","-1","boffa"
"going","84","499","going, goings"
"child","83","353","child, children"
"always","83","609","always"
"believe","82","4851","believe, believed, believes, believing"
"word","81","809","word, words, worded"
"away","81","698","away"
"law","81","1800","law, laws"
"try","81","2351","try, tried, tries, trying"
"point","80","437","point, points, pointed, pointing"
"member","80","305","member, members, members'"
"well","79","156","well"
"keep","79","2839","keep, kept, keeps, keeping"
"since","79","339","since"
"bring","78","4356","bring, brings, brought, bringing"
"woman","78","1134","women, woman"
"three","78","313","three"
"italy","78","1354","italy"
"catholic","77","3617","catholic, catholics"
"themselves","77","1744","themselves"
"again","75","514","again"
"remain","75","5603","remain, remains, remained, remaining"
"live","75","3974","live, lived, living"
"thousand","75","4039","thousand, thousands"
"begin","74","2110","begin, began, begun, begins, beginning"
"itself","74","1624","itself"
"unite","74","209","unite, united, uniting"
"hold","73","1062","hold, held, holds, holding"
"don","73","2981","don"
"parliament","73","4286","parliament"
"order","72","172","order, orders, ordered, ordering"
"down","72","310","down, downed"
"does","72","187","does"
"far","72","859","far"
"union","72","1105","union, unions"
"london","72","647","london"
"why","72","384","why"
"language","72","561","language, languages"
"hundred","71","3925","hundred, hundreds"
"power","71","306","power, powers"
"enough","71","962","enough"
"clear","71","906","clear, cleared, clearing"
"me","70","88","me"
"form","70","3761","form, forms, formed"
"small","70","3082","small, smaller, smallest"
"put","70","678","put, puts, putting"
"your","69","23","your"
"pass","68","1492","pass, passed, passes, passing"
"speak","68","5542","speak, spoke, speaks, speaking"
"fact","68","853","fact, facts"
"father","67","1691","father, fathers"
"without","67","321","without"
"agreement","67","707","agreement, agreements"
"allow","66","1845","allow, allows, allowed, allowing"
"independence","66","4702","independence"
"show","66","1723","show, shows, shown, showed, showing"
"send","66","1166","send, sent, sends, sending"
"set","64","188","set, sets, setting"
"although","64","1016","although"
"follow","64","2532","follow, follows, followed, following"
"matter","64","1210","matter, matters, mattered"
"case","64","286","case, cases"
"really","63","471","really"
"ever","63","798","ever"
"little","63","397","little"
"return","63","2355","return, returns, returned, returning"
"cannot","62","-1","cannot"
"issue","62","603","issue, issues, issued, issuing"
"priest","62","7707","priest, priests"
"olivier","62","-1","olivier"
"whether","61","759","whether"
"during","61","354","during"
"god","60","689","god, gods"
"city","60","1362","city, cities"
"close","60","4037","close, closed, closer, closes, closing, closest"
"among","59","965","among"
"body","59","569","body, bodies"
"stone","59","1921","stone, stones, stones'"
"until","59","693","until"
"stand","59","1777","stood, stand, stands, standing"
"move","59","4397","move, moves, moved, moving"
"maybe","59","1589","maybe"
"simply","59","1304","simply"
"happen","58","3086","happen, happens, happened, happening"
"large","58","461","large, larger, largest"
"young","58","570","young, younger, youngest"
"continue","58","2006","continue, continued, continues, continuing"
"run","58","4285","ran, run, runs, running"
"both","57","299","both"
"carry","57","2875","carry, carries, carried, carrying"
"street","57","522","street, streets"
"himself","57","2037","himself"
"last","57","125","last"
"towards","56","2193","towards"
"feel","56","2395","felt, feel, feels"
"village","56","1932","village, villages"
"morning","56","1543","morning, mornings"
"ground","56","1345","ground, grounds, grounded"
"dockyard","56","-1","dockyard, dockyards"
"mother","55","1429","mother, mothers"
"everything","55","877","everything"
"everyone","55","1262","everyone"
"interest","55","2059","interest, interests"
"future","54","640","future"
"plan","54","479","plan, plans, planned"
"election","54","2197","election, elections"
"fall","53","4537","fall, fell, falls, fallen, falling"
"hour","53","1117","hour, hours"
"hard","53","595","hard, harder, hardest"
"mediterranean","53","8080","mediterranean"
"constitution","53","3630","constitution, constitutions"
"kingdom","52","986","kingdom"
"sea","52","1319","sea, seas"
"entire","52","1461","entire"
"receive","52","890","receive, received, receives, receiving"
"open","51","282","open, opened"
"win","51","1239","win, won, winning"
"though","51","873","though"
"behind","51","1530","behind"
"meet","51","858","met, meet"
"force","51","1021","force, forces, forced"
"office","51","240","office, offices"
"change","51","592","change, changed, changes, changing"
"least","51","709","least"
"gonzi","51","-1","gonzi"
"meeting","50","649","meeting, meetings"
"ago","50","807","ago"
"stop","50","4576","stop, stops, stopped, stopping"
"political","50","983","political"
"car","50","719","car, cars"
"high","49","975","high, highs, higher, highest"
"else","49","832","else"
"economic","49","860","economic"
"grow","48","4833","grow, grew, grown, grows, growing"
"yet","48","635","yet"
"communist","48","9706","communist, communists"
"write","48","967","write, wrote, writes, writing, written"
"exist","48","3041","exist, exists, existed, existing"
"arm","47","2859","arm, arms, armed"
"full","47","195","full"
"throw","47","7637","throw, threw, thrown, throws, throwing"
"having","47","727","having"
"governor","47","3622","governor, governors"
"pay","47","598","pay, paid, pays, paying"
"rock","46","5271","rock, rocks"
"century","46","8438","century, centuries"
"question","46","496","question, questions, questioned"
"seek","46","5277","seek, seeks, sought, seeking"
"referendum","46","-1","referendum"
"each","45","167","each"
"together","45","848","together"
"social","45","557","social"
"light","45","612","light, lights"
"claim","45","2021","claim, claims, claimed, claiming"
"public","45","161","public"
"support","45","147","support, supports, supported, supporting"
"military","45","1125","military"
"break","44","2534","break, broke, broken, breaks, breaking"
"old","44","370","old, older, oldest"
"rather","44","1093","rather"
"population","44","1296","population, populations"
"fight","44","9433","fight, fought, fights, fighting"
"bus","44","8802","bus, buses"
"course","44","427","course"
"hear","43","1803","hear, heard, hears"
"almost","43","1213","almost"
"face","43","4967","face, faces, faced, facing"
"couple","43","1882","couple, couples, coupled"
"upon","43","764","upon"
"st","43","787","st"
"soon","43","1051","soon"
"others","43","705","others"
"less","43","534","less"
"lose","43","3168","lost, lose, losing"
"next","43","120","next"
"history","42","334","history"
"christian","42","1307","christian, christians"
"road","42","589","road, roads"
"service","42","96","service, services"
"agree","42","2773","agree, agreed, agrees"
"nuclear","42","2379","nuclear"
"voice","41","5688","voice, voices"
"air","41","477","air"
"colonial","41","7505","colonial"
"room","41","432","room, rooms"
"friend","41","714","friend, friends"
"prime","41","2107","prime"
"expect","41","1515","expect, expects, expected, expecting"
"prepare","41","3551","prepare, prepared, prepares, preparing"
"proposal","41","4070","proposal, proposals"
"letter","41","1997","letter, letters"
"help","40","75","help, helped, helping"
"class","40","387","class, classes"
"earth","40","1332","earth"
"million","40","3582","million, millions"
"several","40","738","several"
"wait","40","2070","wait, waited, waiting"
"something","40","588","something"
"half","40","927","half"
"nor","40","2038","nor"
"evening","39","2377","evening, evenings"
"ourselves","39","4918","ourselves"
"consider","39","1431","consider, considers, considered, considering"
"present","39","804","present, presents, presented, presenting"
"eye","39","1713","eye, eyes, eyeing"
"round","39","1308","round, rounded, rounding"
"moment","39","2257","moment, moments"
"understand","39","1311","understand, understood, understands"
"month","39","636","month, months"
"conference","39","784","conference, conferences"
"dr","39","1775","dr"
"rise","39","2702","rise, rose, rises, risen, rising"
"sort","39","922","sort, sorts"
"sign","39","6770","sign, signs, signed, signing"
"later","39","943","later"
"head","38","691","head, heads, headed, heading"
"along","38","964","along"
"bear","38","2489","bear, born, bore, bears, borne, bearing"
"sit","38","3713","sat, sit, sits, sitting"
"five","38","763","five"
"inside","38","1089","inside"
"week","38","1094","week, weeks"
"fear","38","-1","fear, fears, feared, fearing"
"secretary","38","1786","secretary"
"build","38","1320","built, build, builds"
"foot","38","2007","feet, foot"
"defence","38","4978","defence"
"number","37","142","number, numbers, numbered"
"cut","37","1323","cut, cuts, cutting"
"important","37","572","important"
"aid","37","1651","aid, aided"
"sense","37","1567","sense, senses, sensed"
"walk","37","3080","walk, walks, walked, walking"
"whole","37","940","whole"
"leader","37","2314","leader, leaders"
"within","37","250","within"
"idea","37","1233","idea, ideas"
"south","37","285","south"
"visit","37","398","visit, visits, visited, visiting"
"sure","37","715","sure"
"sun","36","644","sun, suns"
"anything","36","1064","anything"
"red","36","553","red, reds"
"system","36","135","system, systems"
"concern","36","2740","concern, concerns, concerned, concerning"
"night","36","593","night, nights"
"past","35","757","past"
"especially","35","1378","especially"
"crowd","35","-1","crowd, crowds, crowded"
"across","35","1056","across"
"talk","35","815","talk, talks, talked, talking"
"share","35","2561","share, shared, shares, sharing"
"big","35","329","big, bigger, biggest"
"enter","35","4518","enter, enters, entered, entering"
"certain","35","1099","certain"
"general","35","190","general"
"archbishop","35","-1","archbishop, archbishops"
"rest","35","1546","rest, rested, resting"
"cabinet","35","4352","cabinet"
"christ","34","2792","christ"
"four","34","599","four"
"authority","34","3277","authority, authorities"
"except","34","1584","except"
"line","34","1053","line, lines, lined, lining"
"perhaps","34","1925","perhaps"
"favour","34","9807","favour, favours, favoured, favouring"
"enjoy","34","1649","enjoy, enjoys, enjoyed, enjoying"
"base","34","987","base, based, basing"
"guarantee","34","2045","guarantee, guaranteed, guarantees"
"outside","34","1189","outside"
"strike","34","3883","strike, struck, strikes"
"decide","33","2413","decide, decided, decides, deciding"
"paul","33","937","paul"
"socialist","33","-1","socialist, socialists, socialists'"
"certainly","33","2893","certainly"
"front","33","793","front"
"water","33","333","water, waters, watered"
"longer","33","1526","longer"
"newspaper","33","2895","newspaper, newspapers"
"enemy","33","8300","enemy, enemies"
"join","33","1436","join, joins, joined, joining"
"money","33","390","money"
"sometimes","33","1736","sometimes"
"appear","33","4154","appear, appears, appeared, appearing"
"heart","32","888","heart, hearts"
"deny","32","7850","deny, denied, denying"
"sound","32","-1","sound, sounds, sounded, sounding"
"flag","32","2412","flag, flags"
"read","32","179","read, reads"
"westminster","32","9686","westminster"
"station","32","1306","station, stations, stationed"
"play","32","2299","play, plays, played, playing"
"second","32","2055","second, seconds"
"discuss","32","1891","discuss, discussed, discussing"
"opposition","32","5348","opposition, oppositions"
"act","31","3915","act, acts, acted, acting"
"rule","31","818","rule, ruled, rules"
"request","31","626","request, requests, requested, requesting"
"wife","31","1749","wife, wives"
"inform","31","2118","inform, informs, informed, informing"
"middle","31","1140","middle"
"imagine","31","4089","imagine, imagined, imagines"
"reason","31","-1","reason, reasons, reasoned"
"town","31","4983","town, towns"
"position","31","920","position, positions, positioned"
"worry","31","-1","worry, worried, worries, worrying"
"different","31","420","different"
"age","30","579","age, ages, aged"
"mind","30","1073","mind, minds, minded"
"spend","30","2918","spent, spend"
"accord","30","1107","accord, accorded, according"
"nation","30","2530","nation, nations"
"table","30","2231","table, tables, tabled"
"name","30","1114","name, names, named"
"able","30","726","able"
"maintain","30","4974","maintain, maintained, maintaining"
"refuse","30","7366","refuse, refused, refuses, refusing"
"nationalist","30","-1","nationalist, nationalists"
"situation","30","1901","situation"
"regard","30","1644","regard, regards, regarded, regarding"
"lie","29","7136","lie, lay, lies, lying"
"death","29","966","death, deaths"
"cross","29","1082","cross, crosses, crossed, crossing"
"colombo","29","-1","colombo"
"choose","29","6468","chose, choose, chosen, choosing"
"north","29","325","north"
"real","29","211","real"
"status","29","601","status"
"valletta","29","-1","valletta"
"majesty","29","-1","majesty"
"opportunity","29","1357","opportunity, opportunities"
"material","29","811","material"
"mostly","29","2912","mostly"
"port","29","1034","port, ports"
"colony","29","-1","colony, colonies"
"someone","29","1061","someone"
"action","29","1889","action, actions"
"create","28","977","create, creates, created, creating"
"relation","28","1493","relation, relations"
"clearly","28","2462","clearly"
"economy","28","1778","economy, economies"
"cause","28","2888","cause, caused, causing"
"rome","28","3559","rome"
"soul","28","2402","soul, souls"
"representative","28","2669","representative, representatives"
"decade","28","5781","decade, decades"
"approach","28","-1","approach, approaches, approached, approaching"
"report","28","223","report, reports, reported"
"include","28","871","include, included, including"
"supporter","28","7178","supporter, supporters"
"care","28","308","care, cared"
"poor","28","1710","poor"
"ship","28","1347","ship, ships, shipping"
"civil","28","1667","civil"
"happy","28","1279","happy, happiest"
"de","28","186","de"
"sandys","28","-1","sandys, sandys'"
"either","27","806","either"
"love","27","369","love, loved"
"space","27","641","space, spaces"
"didn","27","-1","didn"
"die","27","6627","die, died, dies, dying"
"brother","27","3424","brother, brothers"
"self","27","696","self"
"drive","27","4026","drive, drove, driven, driving"
"raise","27","3143","raise, raised, raises, raising"
"particularly","27","1939","particularly"
"influence","27","2942","influence, influenced, influences"
"further","27","723","further"
"private","27","396","private"
"hope","27","1085","hope, hopes"
"national","27","242","national"
"negotiate","27","-1","negotiate, negotiated, negotiating"
"effect","27","1070","effect, effects"
"increase","27","984","increase, increases, increased, increasing"
"anyone","27","1083","anyone"
"value","27","1145","value, values, valued"
"step","27","2112","step, steps, stepped"
"represent","27","5334","represent, represents, represented, representing"
"reach","27","8361","reach, reached, reaches"
"direct","27","782","direct, directed, directing"
"centre","27","823","centre, centres, centred"
"bevan","27","-1","bevan"
"faith","26","2240","faith"
"pope","26","-1","pope, popes"
"today","26","283","today"
"true","26","830","true"
"bishop","26","-1","bishop, bishops, bishops'"
"necessary","26","1104","necessary"
"club","26","581","club, clubs"
"establish","26","1634","establish, established, establishing"
"result","26","610","result, results, resulted"
"circumstance","26","3208","circumstance, circumstances"
"food","26","417","food"
"commons","26","4476","commons"
"eight","26","2438","eight"
"minute","26","831","minute, minutes"
"require","26","484","require, required, requires, requiring"
"marry","26","2626","marry, married, marries"
"pick","26","5371","pick, picked, picking"
"indeed","26","2894","indeed"
"twelve","26","5670","twelve"
"responsibility","26","1486","responsibility, responsibilities"
"harbour","26","7465","harbour, harbours"
"constitutional","26","5869","constitutional, constitutionals"
"marriage","26","2593","marriage, marriages"
"activity","25","1014","activity, activities"
"europe","25","837","europe"
"spiritual","25","3705","spiritual"
"thirty","25","5422","thirty, thirties"
"burn","25","4428","burn, burns, burned, burning"
"offer","25","616","offer, offers, offered"
"figure","25","2625","figure, figured, figures"
"possible","25","632","possible"
"boat","25","2359","boat, boats"
"wall","25","4603","wall, walls"
"building","25","605","building, buildings"
"politics","25","1555","politics"
"encourage","25","5196","encourage, encouraged, encourages, encouraging"
"amount","25","869","amount, amounts, amounted, amounting"
"fly","25","3991","fly, flies, flying"
"creech","25","-1","creech"
"jones","25","2056","jones"
"finally","25","1676","finally"
"intention","25","7294","intention, intentions"
"cover","25","2145","cover, covers, covered, covering"
"produce","25","2066","produce, produced, producing"
"mizzi","25","-1","mizzi"
"fail","25","2592","fail, fails, failed, failing"
"culture","25","1171","culture, cultures"
"shall","25","385","shall"
"society","24","710","society, societies"
"promise","24","4347","promise, promised, promises"
"spirit","24","2180","spirit"
"above","24","546","above"
"twenty","24","3548","twenty, twenties"
"san","24","512","san"
"communism","24","-1","communism"
"daughter","24","9065","daughter, daughters"
"nearly","24","2511","nearly"
"door","24","3656","door, doors"
"elect","24","4274","elect, elects, elected"
"nature","24","1001","nature"
"local","24","236","local"
"foreign","24","1187","foreign"
"near","24","988","near, nearest"
"european","24","1013","european, europeans"
"bad","24","4164","bad, worse, worst"
"condition","24","451","condition, conditions"
"deal","24","1273","deal, deals, dealing"
"religious","24","2234","religious"
"group","24","180","group, groups"
"lead","24","1742","led, lead, leads"
"problem","24","552","problem, problems"
"prevent","24","-1","prevent, prevented, preventing"
"propose","24","1536","propose, proposed, proposing"
"stay","24","6046","stay, stayed"
"rahal","24","-1","raħal"
"gdid","24","-1","ġdid"
"presence","23","2781","presence"
"religion","23","2020","religion"
"cast","23","2393","cast, casts, casting"
"fund","23","1477","fund, funds, funded"
"deep","23","1542","deep, deeper, deepest"
"draw","23","4608","draw, drew, drawn, draws, drawing"
"school","23","164","school, schools"
"fire","23","7285","fire, fires, fired, firing"
"anti","23","1330","anti"
"respect","23","1700","respect, respects, respected, respecting"
"grant","23","3741","grant, grants, granted, granting"
"eat","23","2727","ate, eat, eaten, eating"
"bar","23","1041","bar, bars"
"free","23","41","free, freed"
"health","23","116","health"
"cost","23","488","cost, costs"
"lot","23","747","lot, lots"
"clock","23","6926","clock, clocks"
"speech","23","2556","speech, speeches"
"wave","23","-1","wave, waves, waved, waving"
"libya","23","-1","libya"
"yes","23","483","yes"
"frequently","23","2480","frequently"
"rediffusion","23","-1","rediffusion"
"ganado","23","-1","ganado"
"declare","22","9347","declare, declared, declaring"
"wish","22","9973","wish, wishes, wished, wishing"
"late","22","1230","late, latest"
"tradition","22","4868","tradition, traditions"
"subject","22","258","subject, subjects, subjected, subjecting"
"sky","22","2871","sky, skies"
"kind","22","1138","kind, kinds"
"heaven","22","-1","heaven, heavens"
"level","22","363","level, levels, levelling"
"opinion","22","1470","opinion, opinions"
"affair","22","2190","affair, affairs"
"demonstration","22","-1","demonstration, demonstrations"
"holy","22","3237","holy"
"witness","22","5192","witness, witnessed, witnesses, witnessing"
"whose","22","1880","whose"
"neighbour","22","-1","neighbour, neighbours, neighbours', neighbouring"
"benefit","22","1726","benefit, benefits"
"strong","22","1339","strong, stronger, strongest"
"contact","22","2300","contact, contacts, contacting"
"official","22","2638","official, officials"
"process","22","2050","process, processes"
"generation","22","2029","generation, generations"
"son","22","5027","son, sons"
"weapon","22","3443","weapon, weapons"
"officer","22","1696","officer, officers, officers'"
"completely","22","2338","completely"
"six","22","1120","six"
"per","22","322","per"
"oil","22","980","oil"
"commando","22","-1","commandos"
"human","21","480","human"
"remember","21","978","remember, remembers, remembered"
"press","21","9619","press, pressed"
"third","21","834","third, thirds"
"afford","21","6019","afford, affords, afforded"
"view","21","78","view, views"
"vatican","21","9269","vatican"
"merely","21","5563","merely"
"duty","21","2486","duty, duties"
"saint","21","8087","saint, saints"
"paper","21","576","paper, papers"
"bomb","21","6157","bomb, bombs, bombed"
"picture","21","335","picture, pictures, pictured"
"wage","21","5322","wage, wages"
"sicily","21","-1","sicily, sicilies"
"battle","21","-1","battle, battles"
"statement","21","794","statement, statements"
"th","21","1758","th"
"discharge","21","-1","discharge, discharges, discharged, discharging"
"american","21","2923","american, americans"
"mention","21","2783","mention, mentions, mentioned, mentioning"
"person","21","531","person, persons"
"book","21","175","book, books, booked"
"sailor","21","-1","sailor, sailors"
"doing","21","996","doing"
"financial","21","525","financial"
"obtain","21","2583","obtain, obtained, obtaining"
"solution","21","1090","solution, solutions"
"control","21","332","control, controlled, controlling"
"egypt","21","3693","egypt"
"lennox","21","-1","lennox"
"boyd","21","-1","boyd"
"ten","20","1754","ten"
"northern","20","1529","northern"
"gather","20","7500","gather, gathers, gathered"
"lord","20","1730","lord, lords"
"palace","20","-1","palace, palaces"
"event","20","623","event, events"
"story","20","562","story, stories"
"quite","20","1390","quite"
"marshall","20","4033","marshall"
"message","20","720","message, messages"
"negotiation","20","6773","negotiation, negotiations"
"roman","20","4077","roman, romans"
"accept","20","1751","accept, accepts, accepted, accepting"
"common","20","735","common"
"democratic","20","3398","democratic"
"realise","20","-1","realise, realised"
"treat","20","3757","treat, treats, treated, treating"
"exchange","20","1049","exchange, exchanges, exchanged, exchanging"
"smoke","20","4235","smoke, smoked"
"missile","20","9639","missile, missiles"
"eternal","19","7978","eternal"
"argument","19","2076","argument, arguments"
"memory","19","4542","memory, memories"
"colour","19","2741","colour, colours, coloured"
"corner","19","8818","corner, corners, cornered"
"hardly","19","6786","hardly"
"mary","19","1513","mary, maries"
"learnt","19","-1","learnt"
"crown","19","-1","crown, crowns, crowned"
"mere","19","7774","mere, merest"
"avoid","19","-1","avoid, avoided, avoiding"
"bed","19","1259","bed, beds"
"empire","19","3546","empire"
"fill","19","3259","fill, filled"
"development","19","222","development, developments"
"suppose","19","4688","suppose, supposed"
"non","19","379","non"
"job","19","414","job, jobs"
"chance","19","1884","chance, chances"
"early","19","800","early, earliest"
"electoral","19","9502","electoral"
"remind","19","-1","remind, reminds, reminded, reminding"
"telegram","19","-1","telegram, telegrams"
"emigration","19","-1","emigration"
"forty","19","7702","forty"
"ultimatum","19","-1","ultimatum"
"court","19","607","court, courts, courted, courting"
"cigarette","19","8101","cigarette, cigarettes"
"driver","19","1697","driver, drivers"
"divine","18","6465","divine"
"instead","18","1454","instead"
"sleep","18","2704","sleep, sleeping"
"manage","18","2590","manage, managed, manages"
"dream","18","2389","dream, dreams, dreaming"
"shape","18","3011","shape, shaped"
"shoulder","18","5379","shoulder, shoulders, shouldering"
"fortress","18","-1","fortress"
"wasn","18","-1","wasn"
"count","18","7226","count, counted, counting"
"white","18","347","white, whites"
"low","18","1103","low, lows, lower, lowest"
"representation","18","3874","representation, representations"
"afternoon","18","-1","afternoon, afternoons"
"organise","18","8902","organise, organised, organising"
"tax","18","2380","tax, taxes, taxing"
"withdraw","18","-1","withdrew, withdraw, withdrawn, withdrawing"
"hill","18","1270","hill, hills"
"involve","18","1375","involve, involved, involving"
"mass","18","2008","mass"
"daily","18","755","daily"
"doctor","18","3950","doctor, doctors, doctors'"
"impression","18","-1","impression, impressions"
"narrow","18","3888","narrow, narrower"
"destroy","18","6265","destroy, destroyed, destroying"
"territory","18","5985","territory, territories"
"administration","18","1040","administration, administrations"
"therefore","18","1302","therefore"
"committee","18","642","committee, committees"
"complete","18","1507","complete, completed, completes"
"defend","18","7738","defend, defended, defending"
"oppose","18","6113","oppose, opposed, opposing"
"band","18","3577","band, bands"
"department","18","376","department, departments"
"teach","18","4331","teach, taught, teaches"
"affect","18","3139","affect, affected, affecting"
"possibility","18","4174","possibility, possibilities"
"decision","18","2544","decision, decisions"
"drop","18","5315","drop, drops, dropped, dropping"
"freedom","18","2075","freedom"
"demand","18","5466","demand, demands, demanded"
"majority","18","2790","majority"
"ring","18","-1","rang, ring, rings, ringing"
"equal","18","2308","equal, equals"
"bormla","18","-1","bormla"
"store","17","218","store, stored, storing"
"peace","17","1719","peace"
"dress","17","2867","dress, dressed, dresses"
"difficult","17","1927","difficult"
"nobody","17","4690","nobody"
"empty","17","2963","empty, emptied, emptying"
"summer","17","1200","summer, summers"
"coast","17","1725","coast"
"evil","17","3008","evil"
"protest","17","-1","protest, protests, protested"
"colleague","17","6281","colleague, colleagues"
"despite","17","2812","despite"
"market","17","469","market, markets, marketed"
"project","17","287","project, projects, projected"
"barricade","17","-1","barricade, barricades, barricaded"
"aim","17","2750","aim, aims, aimed"
"march","17","491","march, marched, marching"
"buy","17","2527","buy, buying, bought"
"assure","17","8868","assure, assured, assures"
"interested","17","1615","interested"
"servant","17","-1","servant, servants, servants'"
"various","17","879","various"
"sin","17","3993","sin, sins"
"flat","17","1765","flat, flats"
"am","17","83","am"
"catch","17","4023","catch, caught, catching"
"monument","17","-1","monument, monuments"
"exactly","17","2505","exactly"
"floor","17","7388","floor, floors"
"immediately","17","2137","immediately"
"cent","17","2571","cent"
"threaten","17","9901","threaten, threatened, threatening"
"monday","17","1012","monday"
"revolution","16","3770","revolution, revolutions"
"trade","16","717","trade"
"education","16","241","education"
"motion","16","1870","motion, motions"
"black","16","270","black"
"edge","16","7416","edge, edges"
"sunday","16","1074","sunday, sundays"
"grandfather","16","-1","grandfather"
"dinner","16","2985","dinner"
"consist","16","7932","consist, consists, consisted, consisting"
"royal","16","1807","royal, royals"
"seven","16","1854","seven"
"virgin","16","3140","virgin, virgins"
"insult","16","-1","insult, insults, insulted, insulting"
"suffer","16","5906","suffer, suffered, suffering"
"piece","16","1851","piece, pieces"
"column","16","2238","column, columns"
"movement","16","6075","movement, movements"
"fifty","16","7217","fifty"
"facility","16","1135","facility, facilities"
"effort","16","2117","effort, efforts"
"precisely","16","8674","precisely"
"arrive","16","4545","arrive, arrived, arrives, arriving"
"property","16","1343","property, properties"
"struggle","16","5904","struggle, struggles, struggling"
